,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
1,Kudratillo Abdukakhorov,Uzbekistan,31,177,orthodox,Super Welterweight,20,12,60,4,0,2015
2,Masood Abdulah,United Kingdom,31,170,orthodox,Featherweight,11,7,64,0,0,2021
3,Zaur Abdullaev,Russian Federation,30,175,orthodox,Lightweight,20,12,60,1,0,2017
4,Arthur Abraham,Armenia,44,175,orthodox,Super Middleweight,47,30,64,6,0,2003
5,Tomasz Adamek,Poland,48,187,orthodox,Heavyweight,53,31,58,6,0,1999
6,Carlos Adames,Dominican Republic,30,180,orthodox,Middleweight,24,18,75,1,0,2015
7,Brandon Adams,United States,35,175,orthodox,Super Welterweight,25,16,64,4,0,2011
8,David Adeleye,United Kingdom,28,194,orthodox,Heavyweight,13,12,92,1,0,2019
9,Joseph Adorno,United States,25,168,orthodox,Lightweight,18,15,83,4,2,2016
10,Caoimhin Agyarko,Ireland,28,181,orthodox,Middleweight,15,7,47,0,0,2018
11,Efe Ajagba,Nigeria,30,196,orthodox,Heavyweight,20,14,70,1,0,2017
12,Artur Akavov,Russian Federation,37,176,southpaw,Middleweight,20,9,45,4,0,2011
13,Murodjon Akhmadaliev,Uzbekistan,30,166,southpaw,Super Bantamweight,13,10,77,1,0,2018
14,Batyr Akhmedov,Uzbekistan,34,172,southpaw,Welterweight,10,9,90,4,0,2017
15,Ali Akhmedov,Kazakhstan,29,185,orthodox,Super Middleweight,22,16,73,1,0,2016
16,Seigo Yuri,Japan,29,163,orthodox,Flyweight,21,11,52,2,1,2014
17,Gabriela Celeste,Argentina,28,152,orthodox,Flyweight,15,6,40,2,0,2018
18,Raeese Aleem,United States,34,168,orthodox,Featherweight,21,12,57,1,0,2011
19,Jevgenijs Aleksejevs,Latvia,31,183,orthodox,Middleweight,16,9,56,0,0,2013
20,Devon Alexander,United States,37,174,orthodox,Welterweight,27,14,52,6,1,2004
21,Chris Algieri,United States,40,178,orthodox,Welterweight,25,9,36,3,0,2008
22,Janibek Alimkhanuly,Kazakhstan,31,182,southpaw,Middleweight,16,11,69,0,0,2016
23,Dave Allen,United Kingdom,32,191,orthodox,Heavyweight,23,18,78,7,2,2012
24,Mikhail Aloyan,Armenia,36,164,orthodox,Super Flyweight,7,1,14,1,0,2017
25,Rene Alvarado,Nicaragua,35,170,orthodox,Super Featherweight,34,22,65,14,0,2008
26,Felix Alvarado,Nicaragua,35,163,orthodox,Flyweight,42,35,83,4,0,2010
27,Eleider Alvarez,Colombia,40,183,orthodox,Light Heavyweight,25,13,52,2,0,2009
28,Jerwin Ancajas,Philippines,32,168,orthodox,Featherweight,35,23,66,4,2,2009
29,Jared Anderson,United States,25,193,orthodox,Heavyweight,17,15,88,1,0,2019
30,Demetrius Andrade,United States,36,185,southpaw,Super Middleweight,32,19,59,1,0,2008
31,Roman Andreev,Russian Federation,38,172,orthodox,Lightweight,25,17,68,1,0,2008
32,Samuel Antwi,United Kingdom,33,173,orthodox,Super Welterweight,17,8,47,2,0,2015
33,Jaime Arboleda,Panama,30,177,orthodox,Lightweight,19,14,74,3,0,2014
34,Jack Arnfield,United Kingdom,35,188,orthodox,Super Middleweight,26,6,23,4,0,2007
35,Chris Arreola,United States,43,191,orthodox,Heavyweight,38,33,87,7,1,2003
36,McJoe Arroyo,Puerto Rico,39,163,southpaw,Super Flyweight,18,8,44,3,0,2010
37,McWilliams Arroyo,Puerto Rico,39,163,orthodox,Flyweight,21,16,76,4,0,2010
38,Lyndon Arthur,United Kingdom,33,188,orthodox,Light Heavyweight,24,16,67,2,0,2016
39,Matty Askin,United Kingdom,36,193,orthodox,Cruiserweight,23,15,65,4,1,2008
40,Vincent Astrolabio,Philippines,27,165,orthodox,Bantamweight,19,14,74,5,0,2015
41,Chris Avalos,United States,35,170,orthodox,Super Bantamweight,27,20,74,8,0,2008
42,David Avanesyan,Russian Federation,36,173,orthodox,Welterweight,31,19,61,5,1,2009
43,Dan Azeez,United Kingdom,35,178,orthodox,Light Heavyweight,20,13,65,2,1,2018
44,Adam Azim,United Kingdom,22,178,orthodox,Super Lightweight,12,9,75,0,0,2021
45,Alen Babic,Croatia,34,185,orthodox,Heavyweight,12,11,92,2,0,2019
46,Martin Bakole,"Congo, The Democratic Republic of The",31,191,orthodox,Heavyweight,21,16,76,1,0,2014
47,Nick Ball,United Kingdom,27,165,orthodox,Featherweight,21,12,57,0,1,2017
48,Ionut Baluta,Romania,31,179,orthodox,Super Bantamweight,16,3,19,5,1,2016
49,Ivan Baranchyk,Russian Federation,31,173,orthodox,Super Lightweight,20,13,65,3,0,2014
50,Abass Baraou,Germany,30,177,orthodox,Super Welterweight,16,9,56,1,0,2018
51,Arnold Barboza,United States,33,175,orthodox,Super Lightweight,31,11,35,0,0,2013
52,Sullivan Barrera,Cuba,42,188,orthodox,Light Heavyweight,22,14,64,5,0,2009
53,Marco Antonio,Mexico,50,168,orthodox,Super Bantamweight,67,44,66,7,0,1989
54,Zelfa Barrett,United Kingdom,31,170,orthodox,Super Featherweight,31,17,55,2,0,2014
55,Mario Barrios,United States,29,178,orthodox,Welterweight,29,18,62,2,1,2013
56,Jonathan Victor,Argentina,40,175,orthodox,Featherweight,41,22,54,6,1,2004
57,Ismael Barroso,Venezuela,41,174,southpaw,Super Lightweight,25,23,92,5,2,2005
58,Rances Barthelemy,Cuba,38,180,orthodox,Super Lightweight,30,15,50,3,1,2009
59,Albert Batyrgaziev,Russian Federation,26,167,southpaw,Super Featherweight,11,8,73,0,0,2020
60,Alycia Baumgardner,United States,30,168,orthodox,Super Featherweight,15,7,47,1,0,2017
61,Erik Bazinyan,Canada,29,185,orthodox,Super Middleweight,32,23,72,1,1,2013
62,Albert Bell,United States,31,183,orthodox,Super Featherweight,26,9,35,0,0,2013
63,Tony Bellew,United Kingdom,42,191,orthodox,Cruiserweight,30,20,67,3,1,2007
64,Reece Bellotti,United Kingdom,34,170,orthodox,Super Featherweight,19,14,74,5,0,2015
65,Raymundo Beltran,Mexico,43,173,orthodox,Super Lightweight,36,22,61,9,1,1999
66,David Benavidez,United States,28,185,orthodox,Light Heavyweight,29,24,83,0,0,2013
67,Jose Benavidez,United States,32,188,orthodox,Middleweight,28,19,68,3,1,2010
68,Conor Benn,United Kingdom,28,173,orthodox,Welterweight,23,14,61,0,0,2016
69,Denzel Bentley,United Kingdom,29,178,orthodox,Middleweight,21,17,81,3,1,2017
70,Miguel Berchelt,Mexico,33,170,orthodox,Lightweight,40,36,90,3,0,2010
71,Denys Berinchyk,Ukraine,36,170,orthodox,Lightweight,19,9,47,0,0,2015
72,Edgar Berlanga,United States,27,185,orthodox,Super Middleweight,22,17,77,1,0,2016
73,Esteban Bermudez,Mexico,29,170,orthodox,Jr Flyweight,14,10,71,4,2,2013
74,Andre Berto,United States,41,169,orthodox,Welterweight,32,24,75,6,0,2004
75,Alexander Besputin,Russian Federation,33,170,southpaw,Welterweight,15,11,73,0,0,2015
76,Artur Beterbiev,Russian Federation,39,182,orthodox,Light Heavyweight,21,20,95,0,0,2013
77,Mickey Bey,United States,41,175,orthodox,Lightweight,23,11,48,3,1,2005
78,Chris Billam-Smith,United Kingdom,34,191,orthodox,Cruiserweight,20,13,65,2,0,2017
79,Dmitry Bivol,Russian Federation,34,183,orthodox,Light Heavyweight,23,12,52,1,0,2014
80,Hafthor ‘The,Iceland,36,206,orthodox,Heavyweight,0,0,0,0,0,2021
81,Serhii Bohachuk,Ukraine,29,183,orthodox,Super Welterweight,25,24,96,2,0,2017
82,Ricards Bolotniks,Latvia,34,185,orthodox,Light Heavyweight,19,8,42,7,1,2013
83,Sam Bowen,United Kingdom,32,173,orthodox,Super Featherweight,15,11,73,1,0,2015
84,Timothy Bradley,United States,41,168,orthodox,Super Lightweight,33,13,39,2,1,2004
85,Juergen Braehmer,Germany,46,181,southpaw,Super Middleweight,52,38,73,3,0,1999
86,Cecilia Braekhus,Norway,43,171,orthodox,Super Welterweight,38,9,24,2,1,2007
87,Rob Brant,United States,34,182,orthodox,Middleweight,26,18,69,3,0,2012
88,Dominic Breazeale,United States,39,201,orthodox,Heavyweight,20,18,90,3,0,2012
89,Ebanie Bridges,Australia,38,155,orthodox,Bantamweight,9,4,44,2,0,2019
90,Mairis Briedis,Latvia,39,186,orthodox,Cruiserweight,28,20,71,3,0,2009
91,Shannon Briggs,United States,53,193,orthodox,Heavyweight,60,53,88,6,1,1992
92,Adrien Broner,United States,35,168,orthodox,Welterweight,35,24,69,5,1,2008
93,Kell Brook,United Kingdom,38,175,orthodox,Welterweight,40,28,70,3,0,2004
94,David Brophy,United Kingdom,34,180,orthodox,Super Middleweight,21,4,19,2,1,2011
95,Lucas Browne,Australia,45,196,orthodox,Heavyweight,31,27,87,4,0,2009
96,Marcus Browne,United States,34,187,orthodox,Cruiserweight,25,16,64,2,0,2012
97,Trevor Bryan,United States,35,193,orthodox,Heavyweight,22,15,68,2,0,2011
98,Joshua Buatsi,United Kingdom,31,188,orthodox,Light Heavyweight,19,13,68,0,0,2017
99,Frank Buglioni,United Kingdom,35,185,orthodox,Light Heavyweight,22,16,73,4,1,2011
100,Leonard Bundu,Italy,50,169,orthodox,Welterweight,33,12,36,2,2,2005
101,Ryan Burnett,United Kingdom,32,163,orthodox,Bantamweight,20,10,50,1,0,2013
102,Ricky Burns,United Kingdom,41,178,orthodox,Lightweight,44,16,36,8,1,2001
103,Hosea Burton,United Kingdom,36,193,orthodox,Cruiserweight,28,12,43,4,0,2012
104,Salt Papi,United Kingdom,30,173,orthodox,Bantamweight,0,0,0,1,0,2022
105,Radzhab Butaev,Russian Federation,31,179,orthodox,Super Welterweight,15,12,80,1,0,2016
106,Lucian Bute,Romania,44,187,southpaw,Super Middleweight,32,25,78,5,0,2003
107,Gideon Buthelezi,South Africa,38,164,southpaw,Super Flyweight,23,5,22,6,0,2006
108,Paul Butler,United Kingdom,36,168,orthodox,Bantamweight,36,17,47,3,0,2010
109,Steven Butler,Canada,29,182,orthodox,Super Middleweight,35,29,83,5,1,2014
110,Randy Caballero,United States,34,168,orthodox,Super Bantamweight,24,14,58,1,0,2010
111,Anthony Cacace,United Kingdom,35,178,southpaw,Super Featherweight,23,8,35,1,0,2012
112,Phumelele Cafu,South Africa,30,168,southpaw,Super Flyweight,11,8,73,0,3,2018
113,Andrew Cain,United Kingdom,28,163,orthodox,Bantamweight,13,12,92,1,0,2015
114,Chantelle Cameron,United Kingdom,33,172,orthodox,Super Lightweight,20,8,40,1,0,2017
115,Liam Cameron,United Kingdom,34,183,orthodox,Light Heavyweight,23,10,43,6,1,2009
116,Luke Campbell,United Kingdom,37,175,southpaw,Lightweight,20,16,80,4,0,2013
117,Andrew Cancio,United States,36,168,orthodox,Super Featherweight,21,16,76,5,2,2006
118,Canelo Alvarez,Mexico,34,175,orthodox,Super Middleweight,62,39,63,2,2,2005
119,Carlos Canizales,Venezuela,31,160,orthodox,Jr Flyweight,27,19,70,3,1,2014
120,Pablo Cesar,Mexico,35,170,orthodox,Super Middleweight,35,25,71,9,1,2006
121,Carlos Caraballo,Puerto Rico,30,165,orthodox,Bantamweight,15,14,93,1,0,2016
122,Bruce Carrington,United States,27,173,orthodox,Featherweight,14,8,57,0,0,2021
123,Jono Carroll,Ireland,32,170,orthodox,Super Featherweight,24,7,29,3,1,2012
124,Felix Cash,United Kingdom,31,185,orthodox,Middleweight,16,10,63,1,0,2016
125,John Riel,Philippines,34,163,orthodox,Super Bantamweight,34,23,68,4,1,2007
126,Brian Carlos,Argentina,35,170,orthodox,Super Welterweight,17,12,71,1,2,2012
127,Carlos Castro,United States,30,170,orthodox,Featherweight,30,14,47,3,0,2012
128,Marc Castro,United States,25,170,orthodox,Super Featherweight,13,8,62,1,0,2020
129,Jack Catterall,United Kingdom,31,170,southpaw,Super Lightweight,30,13,43,1,0,2012
130,Nehomar Cermeno,Venezuela,45,168,orthodox,Super Bantamweight,26,15,58,7,1,2004
131,Dennis Ceylan,Denmark,35,175,orthodox,Featherweight,18,8,44,2,2,2012
132,Isaac Chamberlain,United Kingdom,30,188,orthodox,Cruiserweight,16,8,50,3,0,2015
133,Jermell Charlo,United States,34,180,orthodox,Super Middleweight,35,19,54,2,1,2007
134,Jermall Charlo,United States,34,183,orthodox,Middleweight,33,22,67,0,0,2008
135,Mahmoud Charr,Germany,40,192,orthodox,Heavyweight,34,20,59,5,0,2005
136,Julio Cesar,Mexico,38,185,orthodox,Cruiserweight,54,34,63,6,1,2003
137,Ted Cheeseman,United Kingdom,29,178,orthodox,Super Welterweight,17,10,59,3,1,2015
138,Zak Chelli,United Kingdom,27,183,orthodox,Super Middleweight,15,7,47,3,1,2017
139,Isaac Chilemba,Malawi,37,188,orthodox,Light Heavyweight,25,10,40,6,2,2005
140,Derek Chisora,United Kingdom,41,187,orthodox,Heavyweight,35,23,66,13,0,2007
141,Hyun Mi,South Korea,34,170,orthodox,Super Featherweight,20,5,25,0,1,2008
142,Fedor Chudinov,Russian Federation,37,177,orthodox,Super Middleweight,25,17,68,3,1,2009
143,Michal Cieslak,Poland,35,190,orthodox,Cruiserweight,27,21,78,2,0,2013
144,Jeyvier Cintron,Puerto Rico,29,170,orthodox,Bantamweight,13,6,46,1,0,2017
145,Souleymane Cissokho,France,33,179,orthodox,Welterweight,17,9,53,0,0,1991
146,Steve Claggett,Canada,35,173,orthodox,Super Lightweight,39,27,69,8,2,2008
147,Lennox Clarke,United Kingdom,33,178,orthodox,Super Middleweight,20,8,40,1,1,2013
148,Frazer Clarke,United Kingdom,33,198,orthodox,Heavyweight,8,6,75,1,1,2022
149,Cheavon Clarke,United Kingdom,34,182,orthodox,Cruiserweight,10,7,70,1,0,2022
150,Custio Clayton,Canada,37,175,orthodox,Welterweight,19,12,63,1,1,2014
151,Nathan Cleverly,United Kingdom,37,187,orthodox,Light Heavyweight,30,16,53,4,0,2005
152,Blair Cobbs,United States,35,179,southpaw,Welterweight,17,10,59,1,1,2013
153,Khalil Coe,United States,28,178,orthodox,Light Heavyweight,9,7,78,0,1,2021
154,Michael Polite,United States,38,196,orthodox,Heavyweight,13,10,77,4,0,2017
155,Chris Colbert,United States,28,173,orthodox,Lightweight,17,6,35,3,0,2015
156,Luis Collazo,United States,43,175,southpaw,Welterweight,39,20,51,8,0,2000
157,Oscar Collazo,United States,27,155,southpaw,Minimumweight,11,8,73,0,0,2020
158,Nathaniel Collins,United Kingdom,28,168,southpaw,Featherweight,15,7,47,0,0,2018
159,Richard Commey,Ghana,37,175,orthodox,Super Lightweight,30,27,90,5,1,2011
160,Robson Conceicao,Brazil,36,179,orthodox,Super Featherweight,19,9,47,3,1,2016
161,Luis Concepcion,Panama,39,157,orthodox,Super Flyweight,40,29,73,10,0,2006
162,Jamie Conlan,Ireland,38,170,orthodox,Featherweight,19,11,58,1,0,2009
163,Michael Conlan,Ireland,33,173,orthodox,Super Featherweight,18,9,50,3,0,2017
164,Kieron Conway,United Kingdom,28,181,orthodox,Middleweight,22,6,27,3,1,2017
165,Charles Conwell,United States,27,175,orthodox,Super Welterweight,21,16,76,0,0,2017
166,Joe Cordina,United Kingdom,33,175,orthodox,Lightweight,17,9,53,1,0,2017
167,Jezreel Corrales,Panama,33,168,southpaw,Lightweight,26,10,38,5,0,2009
168,Andres Cortes,United States,27,170,orthodox,Super Featherweight,22,12,55,0,0,2016
169,Miguel Cotto,Puerto Rico,44,170,orthodox,Super Welterweight,41,33,80,6,0,2001
170,Shannon Courtenay,United Kingdom,31,165,orthodox,Bantamweight,8,3,38,2,0,2019
171,Jamie Cox,United Kingdom,38,180,southpaw,Super Middleweight,25,14,56,2,0,2007
172,Tommy Coyle,United Kingdom,35,170,orthodox,Lightweight,25,12,48,5,0,2009
173,Terence Crawford,United States,37,173,southpaw,Super Welterweight,41,31,76,0,0,2008
174,Lewis Crocker,United Kingdom,27,175,orthodox,Welterweight,20,11,55,0,0,2017
175,Anthony Crolla,United Kingdom,38,174,orthodox,Lightweight,34,13,38,7,3,2006
176,Cody Crowley,Canada,31,178,southpaw,Welterweight,22,9,41,0,0,2014
177,Isaac ‘Pitbull’,Mexico,26,164,orthodox,Super Lightweight,26,18,69,3,1,2015
178,Andy Cruz,Cuba,29,168,orthodox,Lightweight,4,2,50,0,0,2011
179,Carlos Cuadras,Mexico,36,163,orthodox,Super Flyweight,42,28,67,5,1,2008
180,Rene Mark,Philippines,28,157,orthodox,Jr Flyweight,22,12,55,6,2,2014
181,Jesus Andres,Argentina,38,168,southpaw,Featherweight,29,22,76,4,0,2008
182,Jack Culcay,Germany,39,172,orthodox,Super Welterweight,33,14,42,5,0,2009
183,Jack Cullen,United Kingdom,31,191,orthodox,Super Middleweight,22,10,45,6,1,2016
184,Gary Cully,Ireland,28,188,southpaw,Lightweight,18,10,56,2,0,2017
185,Steve Cunningham,United States,48,190,orthodox,Cruiserweight,30,13,43,9,1,2000
186,Craig Cunningham,United Kingdom,36,180,southpaw,Super Welterweight,19,4,21,1,0,2011
187,Jason Cunningham,United Kingdom,35,170,southpaw,Super Bantamweight,32,7,22,8,0,2011
188,Raul Curiel,Mexico,29,173,orthodox,Welterweight,15,13,87,0,1,2017
189,Adrian Curiel,Mexico,25,163,orthodox,Flyweight,24,5,21,6,1,2016
190,Fiodor Czerkaszyn,Poland,28,185,orthodox,Middleweight,25,15,60,1,0,2015
191,Artem Dalakian,Azerbaijan,37,164,orthodox,Flyweight,22,15,68,1,0,2011
192,Michael Dasmarinas,Philippines,32,170,southpaw,Bantamweight,30,20,67,3,1,2012
193,Ohara Davies,United Kingdom,32,170,orthodox,Super Lightweight,25,18,72,3,0,2014
194,Liam Davies,United Kingdom,28,177,orthodox,Super Bantamweight,16,8,50,1,0,2018
195,Robbie Davies,United Kingdom,35,174,orthodox,Super Lightweight,24,15,63,5,0,2013
196,Gervonta ‘Tank’,United States,30,168,southpaw,Lightweight,30,28,93,0,0,2013
197,Keyshawn Davis,United States,25,175,orthodox,Lightweight,12,8,67,0,0,2021
198,Giovanni De,Italy,40,184,orthodox,Super Middleweight,33,16,48,11,1,2007
199,Diego De,Mexico,30,168,orthodox,Featherweight,24,11,46,2,0,2013
200,James DeGale,United Kingdom,38,183,southpaw,Super Middleweight,25,15,60,3,1,2009
201,Lindolfo Delgado,Mexico,29,175,orthodox,Super Lightweight,21,15,71,0,0,2017
202,Tyler Denny,United Kingdom,33,178,southpaw,Middleweight,19,1,5,3,3,2015
203,Sergiy Derevyanchenko,Ukraine,39,175,orthodox,Super Middleweight,15,10,67,6,0,2014
204,Franchon Crews,United States,37,173,orthodox,Super Middleweight,9,2,22,2,0,2016
205,Joseph ‘Jo,United States,32,168,southpaw,Super Lightweight,33,15,45,6,1,2012
206,Christopher Diaz,Puerto Rico,30,168,orthodox,Super Featherweight,29,19,66,5,0,2013
207,Nate Diaz,United States,39,183,orthodox,Cruiserweight,1,0,0,1,0,2023
208,Billy Dib,Australia,39,171,orthodox,Lightweight,48,27,56,6,0,2004
209,Jazza Dickens,United Kingdom,33,165,southpaw,Featherweight,32,12,38,5,0,2011
210,Danny Dignum,United Kingdom,32,185,southpaw,Middleweight,16,9,56,2,1,2016
211,Liam Dillon,United Kingdom,28,170,orthodox,Super Featherweight,13,3,23,2,1,2017
212,Alex Dilmaghani,United Kingdom,33,173,southpaw,Super Featherweight,20,7,35,2,1,2009
213,Alexander Dimitrenko,Russian Federation,42,201,orthodox,Heavyweight,41,26,63,6,0,2001
214,Bogdan Dinu,Romania,38,196,orthodox,Heavyweight,20,16,80,5,0,2008
215,Anthony Dirrell,United States,40,188,orthodox,Super Middleweight,34,25,74,3,2,2005
216,Andre Dirrell,United States,41,185,southpaw,Light Heavyweight,29,19,66,3,0,2005
217,Sean Dodd,United Kingdom,40,170,orthodox,Super Lightweight,17,3,18,7,1,2012
218,Isaac Dogboe,Ghana,30,157,orthodox,Featherweight,24,15,63,4,0,2013
219,TJ Doheny,Ireland,38,166,orthodox,Featherweight,26,20,77,5,0,2012
220,Nonito Donaire,Philippines,42,166,orthodox,Bantamweight,42,28,67,8,0,2001
221,Paddy Donovan,Ireland,25,175,southpaw,Welterweight,14,11,79,0,0,2019
222,Tom Doran,United Kingdom,37,178,orthodox,Middleweight,17,7,41,1,0,2009
223,Yuniel Dorticos,Cuba,38,191,orthodox,Cruiserweight,27,25,93,2,0,2009
224,Omar Douglas,United States,33,170,orthodox,Super Featherweight,19,13,68,3,0,2011
225,Grigory Drozd,Russian Federation,45,186,orthodox,Cruiserweight,40,28,70,1,0,2001
226,Oscar Duarte,United States,28,175,orthodox,Lightweight,28,22,79,2,1,2013
227,Daniel Dubois,United Kingdom,27,196,orthodox,Heavyweight,22,21,95,2,0,2017
228,Caroline Dubois,United Kingdom,23,166,southpaw,Lightweight,10,5,50,0,0,2022
229,Johann Duhaupas,France,43,195,orthodox,Heavyweight,38,25,66,6,0,2004
230,Thomas Dulorme,Puerto Rico,34,178,orthodox,Super Welterweight,26,17,65,7,1,2008
231,Robert Easter,United States,33,180,orthodox,Super Lightweight,23,14,61,1,1,2012
232,Lewis Edmondson,United Kingdom,29,185,orthodox,Light Heavyweight,10,3,30,0,0,2019
233,Charlie Edwards,United Kingdom,31,168,orthodox,Bantamweight,20,7,35,1,0,2015
234,Sunny Edwards,United Kingdom,28,160,orthodox,Flyweight,21,4,19,2,0,2016
235,Sam Eggington,United Kingdom,31,180,orthodox,Super Welterweight,34,20,59,9,0,2012
236,Rashidi Ellis,United States,31,175,orthodox,Welterweight,24,15,63,1,0,2013
237,Jaron ‘Boots’,United States,27,178,orthodox,Welterweight,33,29,88,0,0,2016
238,Akeem Ennis-Brown,United Kingdom,29,180,orthodox,Super Lightweight,15,1,7,1,0,2015
239,Shohjahon Ergashev,Uzbekistan,33,179,orthodox,Super Lightweight,24,21,88,2,0,2015
240,Oscar Escandon,Colombia,40,156,orthodox,Featherweight,27,18,67,7,0,2008
241,Marlen Esparza,United States,35,160,orthodox,Flyweight,15,1,7,2,0,2017
242,Rafael Espinoza,Mexico,30,185,orthodox,Featherweight,26,22,85,0,0,2013
243,Ekow Essuman,United Kingdom,35,178,orthodox,Welterweight,21,8,38,1,0,2016
244,Juan Francisco,Mexico,34,163,orthodox,Super Flyweight,44,28,64,4,0,2008
245,Seniesa Estrada,United States,32,157,orthodox,Minimumweight,26,9,35,0,0,2011
246,Adam Etches,United Kingdom,33,182,orthodox,Super Middleweight,20,17,85,2,0,2010
247,Harlem Eubank,United Kingdom,31,173,orthodox,Welterweight,20,8,40,0,0,2017
248,Chris Eubank,United Kingdom,35,180,orthodox,Middleweight,34,25,74,3,0,2011
249,Junior Fa,New Zealand,35,196,orthodox,Heavyweight,20,11,55,3,0,2016
250,Esquiva Falcao,Brazil,35,178,southpaw,Middleweight,30,20,67,1,0,2014
251,Tevin Farmer,United States,34,168,orthodox,Lightweight,33,8,24,7,1,2011
252,Ukashir Farooq,Pakistan,28,165,orthodox,Bantamweight,16,6,38,1,0,2015
253,Tom Farrell,United Kingdom,35,173,orthodox,Super Lightweight,21,5,24,6,0,2014
254,Ruslan Fayfer,Russian Federation,33,184,orthodox,Cruiserweight,25,16,64,3,0,2013
255,Vincent Feigenbutz,Germany,29,179,orthodox,Middleweight,36,32,89,3,0,2011
256,Rocky Fielding,United Kingdom,37,186,orthodox,Light Heavyweight,30,18,60,3,0,2010
257,Brandon Figueroa,United States,28,173,orthodox,Featherweight,25,19,76,1,1,2015
258,Omar Figueroa,United States,35,171,orthodox,Welterweight,28,19,68,3,1,2008
259,Johnny Fisher,United Kingdom,25,193,orthodox,Heavyweight,13,11,85,0,0,2021
260,Terry Flanagan,United Kingdom,35,177,southpaw,Lightweight,36,14,39,2,0,2009
261,Moises Flores,Mexico,38,175,orthodox,Super Bantamweight,25,17,68,2,0,2008
262,BJ Flores,United States,45,188,orthodox,Cruiserweight,34,21,62,4,1,2003
263,Gabriel Flores,United States,24,175,orthodox,Lightweight,25,8,32,2,0,2017
264,Andrzej Fonfara,Poland,37,189,orthodox,Light Heavyweight,30,18,60,5,0,2006
265,Raymond Ford,United States,25,170,southpaw,Featherweight,16,8,50,1,1,2019
266,Sebastian Formella,Germany,37,177,orthodox,Welterweight,23,11,48,3,0,2014
267,Javier Fortuna,Dominican Republic,35,168,southpaw,Super Lightweight,38,27,71,5,1,2009
268,Brad Foster,United Kingdom,27,168,orthodox,Super Bantamweight,15,5,33,4,2,2015
269,O’Shaquie Foster,United States,31,174,orthodox,Super Featherweight,23,12,52,3,0,2012
270,Anthony Fowler,United Kingdom,33,180,orthodox,Middleweight,16,12,75,2,0,2017
271,Carl Frampton,United Kingdom,37,165,orthodox,Super Featherweight,28,16,57,3,0,2009
272,Cesar Francis,United States,34,180,orthodox,Super Lightweight,12,7,58,2,0,2017
273,Joshua Franco,United States,29,165,orthodox,Super Flyweight,18,8,44,2,3,2015
274,Tommy Frank,United Kingdom,31,170,orthodox,Flyweight,15,3,20,4,1,2016
275,Jermaine Franklin,United States,31,188,orthodox,Heavyweight,23,15,65,2,0,2015
276,Guillaume Frenois,France,41,172,orthodox,Lightweight,50,12,24,2,1,2006
277,Stephen Fulton,United States,30,170,orthodox,Featherweight,22,8,36,1,0,2014
278,Sebastian Fundora,United States,27,197,southpaw,Super Welterweight,21,13,62,1,1,2016
279,Gabriela Fundora,United States,22,175,southpaw,Flyweight,15,7,47,0,0,2021
280,Tyson Fury,United Kingdom,36,206,orthodox,Heavyweight,34,24,71,2,1,2008
281,Hughie Fury,United Kingdom,30,198,orthodox,Heavyweight,29,16,55,3,0,2013
282,Tommy Fury,United Kingdom,25,183,orthodox,Cruiserweight,10,4,40,0,0,2018
283,Reymart Gaballo,Philippines,28,168,orthodox,Bantamweight,28,23,82,2,0,2014
284,Kid Galahad,United Kingdom,34,169,orthodox,Lightweight,28,17,61,3,0,2009
285,Yuriorkis Gamboa,Cuba,43,166,orthodox,Lightweight,30,18,60,5,0,2007
286,Danny Garcia,United States,36,174,orthodox,Super Welterweight,37,21,57,4,0,2007
287,Mikey Garcia,United States,37,170,orthodox,Welterweight,40,30,75,2,0,2006
288,Ryan Garcia,United States,26,178,orthodox,Welterweight,24,20,83,1,0,2016
289,Sergio Garcia,Spain,32,182,orthodox,Super Welterweight,34,14,41,3,0,2012
290,Hector Luis,Dominican Republic,33,175,southpaw,Super Featherweight,16,10,63,2,0,2017
291,Elijah Garcia,United States,21,183,southpaw,Super Middleweight,16,13,81,1,0,2020
292,Ryan Garner,United Kingdom,26,168,orthodox,Super Featherweight,16,8,50,0,0,2016
293,Johnny Garton,United Kingdom,37,173,orthodox,Welterweight,23,10,43,2,1,2011
294,Murat Gassiev,Russian Federation,31,192,orthodox,Heavyweight,31,24,77,2,0,2011
295,Terrell Gausha,United States,37,178,orthodox,Super Welterweight,24,12,50,4,1,2012
296,Frankie Gavin,United Kingdom,39,178,southpaw,Super Welterweight,26,15,58,4,0,2009
297,Mercito Gesta,Philippines,37,170,southpaw,Lightweight,34,17,50,4,3,2003
