,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
485,Sam Maxwell,United Kingdom,36,180,orthodox,Super Lightweight,17,11,65,3,0,2016
486,Mikaela Mayer,United States,34,175,orthodox,Welterweight,20,5,25,2,0,2017
487,Floyd Mayweather,United States,47,173,orthodox,Welterweight,50,27,54,0,0,1996
488,Christian Mbilli,France,29,174,orthodox,Super Middleweight,28,23,82,0,0,2017
489,Dennis McCann,United Kingdom,23,170,southpaw,Super Bantamweight,16,8,50,0,1,2019
490,Tommy McCarthy,United Kingdom,34,189,orthodox,Cruiserweight,20,10,50,6,0,2014
491,Jessica McCaskill,United States,40,168,orthodox,Welterweight,12,5,42,4,1,2015
492,Padraig McCrory,Ireland,36,185,orthodox,Super Middleweight,19,9,47,1,0,2017
493,Gavin McDonnell,United Kingdom,38,177,orthodox,Super Bantamweight,20,5,25,2,2,2010
494,Jamie McDonnell,United Kingdom,38,178,orthodox,Bantamweight,29,13,45,3,1,2005
495,Peter McGrail,United Kingdom,28,170,southpaw,Super Bantamweight,11,6,55,1,0,2021
496,Lee McGregor,United Kingdom,28,172,orthodox,Featherweight,15,11,73,1,1,2017
497,Thabiso Mchunu,South Africa,36,180,southpaw,Cruiserweight,23,13,57,7,0,2007
498,Demsey McKean,Australia,34,198,southpaw,Heavyweight,22,14,64,2,0,2014
499,Tyrone McKenna,Ireland,34,185,southpaw,Welterweight,24,7,29,5,1,2012
500,Ovill McKenzie,Jamaica,45,183,orthodox,Cruiserweight,25,13,52,12,1,2003
501,Michael McKinson,United Kingdom,30,175,southpaw,Welterweight,26,4,15,2,0,2014
502,Bektemir Melikuziev,Uzbekistan,28,177,southpaw,Super Middleweight,15,10,67,1,0,2019
503,Wanheng Menayothin,Thailand,39,158,orthodox,Flyweight,55,19,35,3,0,2007
504,Wilfredo Mendez,Puerto Rico,28,165,southpaw,Minimumweight,19,6,32,3,1,2016
505,Brian Mendoza,United States,30,178,orthodox,Super Welterweight,22,16,73,4,0,2014
506,Fanlong Meng,China,36,188,orthodox,Light Heavyweight,17,10,59,1,0,2015
507,Ernesto Mercado,United States,23,178,orthodox,Super Lightweight,16,15,94,0,0,2021
508,Ryad Merhy,Belgium,32,181,orthodox,Heavyweight,32,26,81,3,0,2013
509,James Metcalf,United Kingdom,36,175,orthodox,Super Welterweight,25,15,60,2,0,2011
510,Duke Micah,Ghana,33,170,orthodox,Bantamweight,24,19,79,1,0,2012
511,Vito Mielnicki,United States,22,183,orthodox,Super Welterweight,20,12,60,1,0,2019
512,Noel ‘Gevor’,Germany,34,189,orthodox,Cruiserweight,27,12,44,2,0,2011
513,Igor Mikhalkin,Russian Federation,39,185,southpaw,Light Heavyweight,25,11,44,3,0,2007
514,Jarrell Miller,United States,36,193,orthodox,Heavyweight,26,22,85,1,2,2009
515,Takashi Miura,Japan,40,169,southpaw,Super Featherweight,31,24,77,4,2,2003
516,Eric Molina,United States,42,193,orthodox,Heavyweight,29,21,72,9,0,2007
517,John Molina,United States,42,179,orthodox,Super Lightweight,30,24,80,9,0,2006
518,Jason Moloney,Australia,33,165,orthodox,Bantamweight,27,19,70,3,0,2014
519,Andrew Moloney,Australia,33,165,orthodox,Super Flyweight,27,17,63,4,0,2014
520,Sean Monaghan,United States,43,180,orthodox,Light Heavyweight,29,17,59,3,0,2010
521,Willie Monroe,United States,38,178,southpaw,Middleweight,24,6,25,3,0,2008
522,Anselmo Moreno,Panama,39,169,southpaw,Featherweight,43,15,35,7,1,2002
523,David Morrell,Cuba,26,185,southpaw,Light Heavyweight,11,9,82,0,0,2019
524,Shane Mosley,United States,34,185,orthodox,Middleweight,22,12,55,4,0,2014
525,Curmel Moton,United States,18,157,orthodox,Lightweight,6,5,83,0,0,2023
526,Moruti Mthalane,South Africa,42,166,orthodox,Flyweight,39,26,67,3,0,2000
527,Anthony Mundine,Australia,49,180,orthodox,Middleweight,48,28,58,9,0,2000
528,Jaime Munguia,Mexico,28,183,orthodox,Super Middleweight,44,35,80,2,0,2013
529,Ryota Murata,Japan,38,182,orthodox,Middleweight,16,13,81,3,0,2013
530,Raymond Muratalla,United States,27,173,orthodox,Lightweight,22,17,77,0,0,2016
531,Martin Murray,United Kingdom,42,183,orthodox,Super Middleweight,39,17,44,6,1,2007
532,Bakhram Murtazaliev,Russian Federation,31,183,orthodox,Super Welterweight,23,17,74,0,0,2014
